,Open,High,Low,Close,Volume_BTC
1.66985E+12,17165.39,17178.34,17157.29,17176.04,146.9888
1.66985E+12,17177.28,17183.07,17172.08,17177.64,123.79706
1.66985E+12,17177.67,17181.99,17159.77,17162.75,136.04092
1.66985E+12,17162.75,17174.97,17158.76,17170.59,164.45053
1.66985E+12,17169.23,17177.82,17165.7,17168.02,85.97845
1.66985E+12,17168.55,17169.86,17153.66,17153.73,116.93416
1.66985E+12,17154.83,17157,17137.32,17148.7,164.78905
1.66985E+12,17149.98,17157.87,17135,17157.83,194.02995
1.66985E+12,17155.52,17184.16,17154.82,17175.97,296.36044
1.66985E+12,17175.41,17181.31,17163.22,17171.16,176.64643
1.66985E+12,17171.11,17177.98,17167.39,17176.23,105.63348
1.66985E+12,17176.23,17191.56,17173.99,17182.4,233.70743
1.66985E+12,17181.58,17188.91,17179.05,17185.64,87.36252
1.66985E+12,17184.99,17189,17170.6,17179.22,133.86656
1.66985E+12,17179.01,17190.08,17178.04,17188.97,104.17691
1.66985E+12,17189.01,17198.19,17180.79,17196.54,260.05536
1.66985E+12,17196.57,17219.99,17193.23,17216.79,226.32699
1.66985E+12,17217.24,17228.29,17211.42,17216,197.4096
1.66985E+12,17216.47,17219,17190.47,17191.52,402.68334
1.66985E+12,17191.34,17200.36,17163.43,17172.62,255.37127
1.66985E+12,17171.87,17220,17161.42,17214.94,308.46824
1.66985E+12,17215,17220,17191,17200.04,226.4638
1.66985E+12,17201.31,17220.39,17199.72,17212.38,203.88358
1.66985E+12,17212.35,17236.16,17203.46,17215.02,251.63803
1.66985E+12,17215.3,17215.82,17196.88,17200.12,127.98799
1.66985E+12,17199.92,17210,17197.17,17207.93,117.96342
1.66985E+12,17207.4,17212.47,17190.14,17202.33,148.91979
1.66985E+12,17202.72,17215.94,17197,17198.79,175.71884
1.66985E+12,17198.79,17204.16,17193.33,17202.18,86.67478
1.66985E+12,17202.99,17206.64,17193.6,17202.52,91.30489
1.66985E+12,17203.43,17211.54,17198.22,17199.03,114.27976
1.66985E+12,17199.02,17202.13,17183.27,17191.79,118.49756
1.66985E+12,17191.01,17196.91,17184.3,17185.2,93.42902
1.66985E+12,17184.28,17186.84,17167.91,17172.46,136.20309
1.66985E+12,17171.85,17187.93,17171.18,17179.36,112.36394
1.66985E+12,17179.27,17181.58,17164.91,17175.22,148.57768
1.66985E+12,17175.7,17182.33,17170.08,17176.29,95.12792
1.66986E+12,17176.06,17181.73,17170.49,17180.42,77.00203
1.66986E+12,17179.66,17180.96,17168.4,17174.15,70.37887
1.66986E+12,17173.28,17178.92,17166.72,17167.76,107.30869
1.66986E+12,17168.36,17172.68,17162.73,17164.41,94.6424
1.66986E+12,17163.94,17173.04,17153.66,17168.66,152.91961
1.66986E+12,17168.66,17176.12,17164.94,17166.83,109.20835
1.66986E+12,17166.62,17169.43,17154.24,17155.22,114.57025
1.66986E+12,17154.49,17166.38,17150.69,17157.63,112.83828
1.66986E+12,17157.24,17169.47,17155.76,17159.3,162.38456
1.66986E+12,17159.29,17173.93,17158.33,17171.75,113.1763
1.66986E+12,17171.72,17180.78,17166.6,17180.78,87.55142
1.66986E+12,17180.6,17180.6,17172,17173.62,62.64715
1.66986E+12,17173.92,17177.24,17161.08,17164.12,99.71124
1.66986E+12,17164.02,17169.32,17161.91,17163.86,58.60651
1.66986E+12,17163.75,17164.27,17144.56,17154.65,218.99383
1.66986E+12,17154.13,17154.94,17143.29,17153.42,118.20252
1.66986E+12,17154.14,17154.62,17135.25,17148.03,143.56347
1.66986E+12,17148.99,17149.13,17117.31,17137.93,204.29524
1.66986E+12,17137.93,17153.92,17137.65,17151.68,134.67397
1.66986E+12,17150.54,17160.93,17145.91,17158.54,93.44022
1.66986E+12,17158.79,17167.8,17154.54,17162.95,128.90319
1.66986E+12,17163.16,17164.99,17156.01,17156.66,48.11625
1.66986E+12,17157.35,17167.11,17155.94,17163.22,87.47179
1.66986E+12,17163.45,17165.62,17155.13,17155.13,97.92963
1.66986E+12,17155.64,17159.72,17150.89,17157.83,91.73056
1.66986E+12,17157.82,17163.05,17145.87,17151.27,134.91037
1.66986E+12,17150.01,17156.77,17146.55,17155.35,85.22434
1.66986E+12,17155.35,17161.12,17153.11,17153.49,93.67074
1.66986E+12,17153.5,17166.45,17151.82,17160.09,146.58317
1.66986E+12,17160.45,17171.53,17155.78,17157.14,127.86187
1.66986E+12,17156.66,17158.53,17148,17156.07,100.89157
1.66986E+12,17155.61,17156.9,17147.25,17148.57,70.38958
1.66986E+12,17149.07,17152.05,17143.33,17147.29,90.32186
1.66986E+12,17146.82,17148.18,17137.07,17145.18,120.8587
1.66986E+12,17144.75,17146.91,17134.1,17136.53,59.68815
1.66986E+12,17137,17140.91,17134.35,17137.55,49.36067
1.66986E+12,17137.59,17147.54,17136.77,17147.34,66.10083
1.66986E+12,17147.44,17149.46,17143.12,17146.26,42.86893
1.66986E+12,17146.26,17152.17,17145.5,17150.03,56.27361
1.66986E+12,17150.03,17151.71,17137,17145.63,78.1148
1.66986E+12,17145.79,17156,17141.53,17152.97,96.71373
1.66986E+12,17152.39,17159.69,17146.03,17149.63,89.24742
1.66986E+12,17149.37,17153.05,17137.46,17142.09,95.55346
1.66986E+12,17142.09,17144.96,17136.65,17140.45,74.93962
1.66986E+12,17140.47,17144,17137.63,17142.95,62.86272
1.66986E+12,17142.98,17149.25,17140.92,17142.24,108.38683
1.66986E+12,17143.24,17149.35,17141.74,17143.74,105.20812
1.66986E+12,17144.44,17144.64,17131.4,17132.83,121.8252
1.66986E+12,17132.41,17137.87,17112.67,17116.76,238.95718
1.66986E+12,17117.51,17124.8,17113.02,17117.95,169.61609
1.66986E+12,17118.01,17130,17116.65,17124.94,144.65215
1.66986E+12,17124.8,17126.99,17107.36,17120.97,206.12855
1.66986E+12,17121.91,17127.69,17119.44,17124.55,128.99011
1.66986E+12,17124.32,17130,17122.48,17122.71,135.28182
1.66986E+12,17123.72,17128.66,17121.24,17125.79,97.28947
1.66986E+12,17125.25,17129.8,17123.71,17125.69,103.89449
1.66986E+12,17126.09,17132.48,17124.8,17127.17,164.85977
1.66986E+12,17127.3,17133.99,17126.63,17130.7,146.66616
1.66986E+12,17130.72,17133.94,17129.01,17131,104.63346
1.66986E+12,17130.93,17136.69,17128.53,17130.49,71.7899
1.66986E+12,17130.65,17132.31,17119.39,17130.23,91.67277
1.66986E+12,17130.01,17142.89,17129.38,17136.32,113.05465
1.66986E+12,17136.6,17137,17125.21,17133.46,113.36715
1.66986E+12,17133.81,17134.56,17128.51,17130.95,45.54524
1.66986E+12,17131,17133.05,17128.18,17129.59,44.79458
1.66986E+12,17129.83,17139.38,17128.21,17132.41,78.63536
1.66986E+12,17131.6,17136.13,17130.66,17130.81,44.7986
1.66986E+12,17131.51,17134.64,17130.47,17133.07,42.35402
1.66986E+12,17133.05,17135.14,17127.31,17129.63,73.02446
1.66986E+12,17129.53,17136.47,17126.72,17134.86,86.35064
1.66986E+12,17135.49,17137.41,17124.69,17126.03,59.6967
1.66986E+12,17126.03,17135.29,17123.06,17135.29,73.64462
1.66986E+12,17134.82,17139,17132.51,17133.36,76.83994
1.66986E+12,17133.02,17134.28,17122.94,17128.11,94.78851
1.66986E+12,17128.18,17137,17126.65,17132.2,97.85848
1.66986E+12,17131.76,17135.19,17130.13,17132.81,48.74455
1.66986E+12,17132.84,17137.57,17130.26,17130.68,50.82138
1.66986E+12,17130.45,17131.06,17123.48,17124.68,61.97445
1.66986E+12,17124.68,17125.11,17111.76,17118.45,65.92977
1.66986E+12,17118.45,17124.69,17116.27,17124.69,58.50731
1.66986E+12,17123.97,17125.82,17119.29,17120.23,25.60958
1.66986E+12,17120.21,17120.8,17109.34,17112.65,70.2726
1.66986E+12,17112.59,17117.73,17112.27,17116.69,15.11768
1.66986E+12,17116.58,17125.7,17115.91,17124.57,51.8206
1.66986E+12,17124.33,17125.16,17119.66,17121.41,31.47765
1.66986E+12,17121.36,17130.45,17119.72,17129.52,62.55727
1.66986E+12,17130.14,17130.73,17125.44,17129.23,32.87921
1.66986E+12,17129.23,17132.69,17128.25,17130.17,29.65645
1.66986E+12,17130.24,17133.54,17124.91,17124.91,59.64527
1.66986E+12,17124.91,17131.97,17122.7,17128.85,112.1755
1.66986E+12,17128.86,17139.64,17127.68,17137.38,115.05552
1.66986E+12,17137.59,17139.59,17134.01,17136.32,43.66526
1.66986E+12,17136.46,17143.67,17135.39,17139.64,71.21723
1.66986E+12,17140.68,17142.97,17136.27,17138,101.90658
1.66986E+12,17137.11,17141.65,17135.19,17136.56,59.39747
1.66986E+12,17136.48,17138.35,17134.31,17137.3,45.93236
1.66986E+12,17137.47,17138.44,17131.64,17137.33,87.32796
1.66986E+12,17137.37,17140.34,17134.25,17136.59,67.82093
1.66986E+12,17136.73,17138.11,17125.32,17128.24,143.26818
1.66986E+12,17128.24,17131.72,17122.19,17125.96,135.99483
1.66986E+12,17125.31,17131.82,17124.48,17131.65,54.92162
1.66986E+12,17131.04,17131.04,17126.3,17129,66.10204
1.66986E+12,17128.27,17135.52,17124.01,17125.82,117.98533
1.66986E+12,17125.82,17125.83,17120.1,17123.42,104.62007
