,Open,High,Low,Close,Volume_BTC,,,,,,
1.69E+12,28968,29300,28968,29300,0.00099,1.69E+12,28.8908,2,0.00099,28.8908,0
1.69E+12,29204.2,29204.2,29204.2,29204.2,0.00064,1.69E+12,18.690688,1,0.00064,18.690688,0
1.69E+12,29204.2,29204.2,29204.2,29204.2,0,1.69E+12,0,0,0,0,0
1.69E+12,29204.2,29204.2,29204.2,29204.2,0,1.69E+12,0,0,0,0,0
1.69E+12,29202.17,29202.17,29202.17,29202.17,0.00078,1.69E+12,22.7776926,1,0.00078,22.7776926,0
1.69E+12,29170.63,29170.63,29170.63,29170.63,0.05495,1.69E+12,1602.926119,1,0.05495,1602.926119,0
1.69E+12,29170.63,29170.63,29170.63,29170.63,0,1.69E+12,0,0,0,0,0
1.69E+12,29170.63,29170.63,29170.63,29170.63,0,1.69E+12,0,0,0,0,0
1.69E+12,29186.18,29186.18,29186.18,29186.18,0.00342,1.69E+12,99.8167356,1,0,0,0
1.69E+12,29186.18,29186.18,29186.18,29186.18,0,1.69E+12,0,0,0,0,0
1.69E+12,29186.18,29223.12,29186.18,29223.12,0.00233,1.69E+12,68.066228,2,0.00169,49.3870728,0
1.69E+12,29223.12,29223.12,29223.12,29223.12,0,1.69E+12,0,0,0,0,0
1.69E+12,29223.12,29223.12,29223.12,29223.12,0,1.69E+12,0,0,0,0,0
1.69E+12,29185.51,29185.51,29185.51,29185.51,0.20943,1.69E+12,6112.321359,2,0.20943,6112.321359,0
1.69E+12,29185.51,29185.51,29185.51,29185.51,0,1.69E+12,0,0,0,0,0
1.69E+12,29185.51,29185.51,29185.51,29185.51,0,1.69E+12,0,0,0,0,0
1.69E+12,29185.51,29185.51,29185.51,29185.51,0,1.69E+12,0,0,0,0,0
1.69E+12,29185.51,29185.51,29185.51,29185.51,0,1.69E+12,0,0,0,0,0
1.69E+12,29185.51,29185.51,29185.51,29185.51,0,1.69E+12,0,0,0,0,0
1.69E+12,29185.51,29185.51,29185.51,29185.51,0,1.69E+12,0,0,0,0,0
1.69E+12,29185.51,29185.51,29185.51,29185.51,0,1.69E+12,0,0,0,0,0
1.69E+12,29185.51,29185.51,29185.51,29185.51,0,1.69E+12,0,0,0,0,0
1.69E+12,29185.51,29185.51,29185.51,29185.51,0,1.69E+12,0,0,0,0,0
1.69E+12,29185.51,29185.51,29185.51,29185.51,0,1.69E+12,0,0,0,0,0
1.69E+12,29185.51,29185.51,29185.51,29185.51,0,1.69E+12,0,0,0,0,0
1.69E+12,29164.56,29164.56,29164.56,29164.56,0.00447,1.69E+12,130.3655832,1,0.00447,130.3655832,0
1.69E+12,29164.56,29164.56,29164.56,29164.56,0,1.69E+12,0,0,0,0,0
1.69E+12,29164.56,29164.56,29164.56,29164.56,0,1.69E+12,0,0,0,0,0
1.69E+12,29164.56,29164.56,29164.56,29164.56,0,1.69E+12,0,0,0,0,0
1.69E+12,29164.56,29164.56,29164.56,29164.56,0,1.69E+12,0,0,0,0,0
