,Low,High,Open,Close,Volume_BTC,,,,,,
1.70407E+12,42351.14,42364.78,42314.01,42361.18,46.06648,1.70407E+12,1950804.473,2087,31.70379,1342741.085,0
1.70407E+12,42361.36,42388,42357.51,42378,45.68457,1.70407E+12,1935626.398,1741,33.78204,1431319.31,0
1.70407E+12,42377.2,42400,42373.47,42391.03,31.84134,1.70407E+12,1349594.375,1555,19.03605,806891.161,0
1.70407E+12,42391.02,42436.68,42388.98,42433.83,48.97387,1.70407E+12,2077230.619,2063,24.84901,1053944.73,0
1.70407E+12,42435.9,42468.62,42433.54,42464.9,40.659,1.70407E+12,1726096.909,2133,23.08391,980014.4061,0
1.70407E+12,42465.06,42478.19,42446.16,42475.58,29.15624,1.70407E+12,1238072.908,1654,15.17021,644228.407,0
1.70407E+12,42473.25,42495.42,42463.79,42494.92,29.22949,1.70407E+12,1241680.157,1881,15.8216,672142.8821,0
1.70407E+12,42492.64,42502.48,42472.88,42486,32.87558,1.70407E+12,1396829.156,1688,17.38768,738812.8062,0
1.70407E+12,42484.1,42488.68,42462.42,42486.19,31.53439,1.70407E+12,1339561.918,1216,21.07957,895471.772,0
1.70407E+12,42484.69,42489.99,42457.85,42474.66,23.74266,1.70407E+12,1008419.449,1277,11.71527,497588.3559,0
1.70407E+12,42474.53,42503.9,42467.43,42499.05,15.29105,1.70407E+12,649732.0433,1189,10.49995,446161.7975,0
1.70407E+12,42498.95,42541.22,42496.01,42531.53,28.20656,1.70407E+12,1199244.481,1721,18.27167,776826.9901,0
1.70407E+12,42531.53,42534.97,42511.16,42515.37,29.92202,1.70407E+12,1272310.362,1733,14.31023,608514.1205,0
1.70407E+12,42515.36,42542.27,42505.58,42532.5,18.5093,1.70407E+12,787090.9176,1221,9.50267,404101.0735,0
1.70407E+12,42532.5,42548.1,42517.41,42546.02,23.85944,1.70407E+12,1014725.587,1304,15.71887,668512.7498,0
1.70407E+12,42544.12,42569.99,42531.89,42566,33.34671,1.70407E+12,1418920.918,1882,20.32876,865028.9452,0
1.70407E+12,42566.46,42611.34,42566,42587.8,33.78574,1.70407E+12,1438938.283,2037,16.72197,712215.2197,0
1.70407E+12,42590.86,42590.86,42544.86,42550.65,37.32429,1.70407E+12,1588614.656,2160,17.78301,756890.7024,0
1.70407E+12,42547.67,42549.96,42511.11,42523.36,38.8591,1.70407E+12,1652694.325,2433,18.05337,767836.4919,0
1.70407E+12,42523.38,42532.8,42503.56,42507.12,18.6868,1.70407E+12,794492.7755,1005,6.9568,295785.652,0
1.70407E+12,42506.45,42522,42500.49,42511.85,14.609,1.70407E+12,621057.8804,877,5.53267,235219.4979,0
1.70407E+12,42512.17,42515.37,42490.51,42499.99,31.74903,1.70407E+12,1349399.852,1439,7.75651,329696.05,0
1.70407E+12,42501.61,42519.01,42494,42511.38,15.53556,1.70407E+12,660353.4611,842,7.87034,334550.1384,0
1.70407E+12,42510.98,42531.47,42509.46,42517.1,15.03629,1.70407E+12,639368.3546,1080,7.53608,320452.7786,0
1.70407E+12,42518.44,42548,42518.44,42526.28,15.22224,1.70407E+12,647429.9878,1064,7.61608,323923.7919,0
1.70407E+12,42527.77,42556.67,42507.76,42553.22,21.15657,1.70407E+12,899790.1945,1275,11.58642,492774.2289,0
1.70407E+12,42554.09,42554.09,42510,42510,19.38917,1.70407E+12,824619.8836,1197,7.4157,315381,0
1.70407E+12,42510.85,42529.68,42476.69,42489.89,43.94459,1.70407E+12,1867560.397,2352,21.99849,934897.5452,0
1.70407E+12,42490.77,42493.45,42465.08,42472.75,16.82526,1.70407E+12,714680.8913,1209,8.16458,346812.7285,0
1.70407E+12,42473.56,42480.87,42458.69,42474.01,13.25089,1.70407E+12,562779.4496,745,6.28793,267065.1663,0
1.70407E+12,42471.52,42471.53,42443.08,42444.4,27.63889,1.70407E+12,1173503.427,1410,9.14847,388468.9888,0
1.70407E+12,42445.69,42451.57,42428.38,42443.93,20.40358,1.70407E+12,865890.9806,1231,10.13835,430276.7493,0
1.70407E+12,42442.45,42462.42,42426.63,42427.83,23.9722,1.70407E+12,1017592.071,1625,9.34612,396749.062,0
1.70407E+12,42427.8,42439.43,42422.08,42434.67,13.39495,1.70407E+12,568357.4437,871,7.55277,320478.68,0
1.70407E+12,42436.48,42438.19,42409.09,42423.85,23.05953,1.70407E+12,978232.7033,1670,8.55556,362952.1347,0
1.70407E+12,42421.88,42426.01,42408.73,42423.8,13.78263,1.70407E+12,584636.4535,922,7.27024,308392.4889,0
1.70407E+12,42423.13,42444.76,42415.2,42436.18,28.90294,1.70407E+12,1226412.057,1573,16.23263,688792.4065,0
1.70407E+12,42436.94,42482.19,42434.87,42472.12,21.31774,1.70407E+12,905220.8891,1516,14.1983,602925.1253,0
1.70407E+12,42472.53,42481.84,42460,42466.25,15.33464,1.70407E+12,651278.0075,798,5.14694,218608.1148,0
1.70407E+12,42466.61,42510.3,42466.53,42507.96,28.68836,1.70407E+12,1218946.619,1570,16.22188,689270.5356,0
1.70407E+12,42507.96,42512.2,42490.84,42502.67,16.48701,1.70407E+12,700730.5519,1068,9.4067,399813.195,0
1.70407E+12,42502.55,42502.55,42478.41,42485.46,8.26196,1.70407E+12,351056.1543,676,3.222,136904.3026,0
1.70407E+12,42485.46,42488.57,42470.92,42486.31,10.04832,1.70407E+12,426870.375,509,5.98198,254127.6962,0
1.70407E+12,42486.54,42494.69,42472,42474.93,17.06458,1.70407E+12,724951.9534,816,7.46487,317137.0608,0
1.70407E+12,42475.92,42504.35,42459.36,42494.63,20.04286,1.70407E+12,851442.8546,1292,11.44645,486286.8182,0
1.70407E+12,42492.48,42520.35,42492.48,42515.64,19.71454,1.70407E+12,838030.6286,1079,12.20185,518681.3829,0
1.70407E+12,42515.37,42523,42508.63,42511.42,10.78262,1.70407E+12,458441.5784,617,5.74779,244384.1665,0
1.70407E+12,42509.23,42512.3,42491.28,42495.09,7.86308,1.70407E+12,334197.68,646,2.42601,103114.3754,0
1.70407E+12,42495.62,42497.19,42475.69,42475.69,8.63389,1.70407E+12,366836.7199,538,4.25425,180758.3294,0
1.70407E+12,42475.57,42477.16,42462.18,42466,10.23624,1.70407E+12,434730.1223,641,5.78206,245566.8795,0
1.70407E+12,42466.37,42489.62,42461.81,42483.12,13.1118,1.70407E+12,556920.5892,654,7.4057,314558.2756,0
1.70407E+12,42482.41,42492.36,42473.36,42484.89,14.11998,1.70407E+12,599868.5785,497,7.34807,312191.6841,0
1.70407E+12,42482.93,42492.36,42482.93,42486.16,3.37736,1.70407E+12,143499.3869,346,2.04543,86909.59478,0
1.70407E+12,42486.4,42492.36,42481.6,42491.27,2.58677,1.70407E+12,109902.2984,255,0.85619,36378.55835,0
1.70407E+12,42489.87,42509.23,42484.26,42507.88,11.19037,1.70407E+12,475567.0917,697,6.68127,283947.0663,0
1.70407E+12,42506.16,42523.87,42493.84,42515.61,11.24234,1.70407E+12,477888.2888,662,7.34449,312218.8981,0
1.70407E+12,42514.58,42533.45,42512.3,42522.37,26.85857,1.70407E+12,1142164.15,1007,15.35712,653107.7198,0
1.70407E+12,42523.72,42543,42518.1,42535.01,11.29326,1.70407E+12,480317.0547,584,6.61687,281443.3577,0
1.70407E+12,42536.9,42540.06,42518,42529.15,17.00438,1.70407E+12,723189.1378,732,6.26527,266482.5302,0
1.70407E+12,42531.04,42536.44,42518.44,42518.44,11.39065,1.70407E+12,484401.4095,574,3.61076,153558.7266,0
1.70407E+12,42517.84,42519.25,42492.37,42497.76,21.14912,1.70407E+12,898971.4663,1656,8.24342,350413.3614,0
1.70407E+12,42497.76,42499.9,42483.48,42487.31,10.43325,1.70407E+12,443321.7355,592,4.05863,172464.4273,0
1.70407E+12,42487.34,42509.52,42476.96,42509.52,19.85617,1.70407E+12,843781.7589,1248,11.67953,496323.6787,0
1.70407E+12,42506.21,42515.7,42479.64,42489.87,18.15693,1.70407E+12,771621.4854,1108,7.43409,315937.7455,0
1.70407E+12,42490.01,42490.81,42475.13,42476.25,6.11998,1.70407E+12,259993.5153,475,1.91761,81468.98312,0
1.70407E+12,42476.25,42495.73,42470.58,42487,19.8965,1.70407E+12,845208.2804,795,9.704,412262.1667,0
1.70407E+12,42486.98,42510.59,42477.66,42506.11,10.22361,1.70407E+12,434461.8344,800,6.29175,267381.2682,0
