,Open,High,Low,Close,Volume_BTC,,,,,,
1.67854E+12,19628.25,20888,19628.25,20888,0.14552,1.67854E+12,3038.978096,4,0.14552,3038.978096,0
1.67854E+12,20700,20700,19628.25,20700,0.17104,1.67854E+12,3472.151878,4,0.10724,2219.868,0
1.67854E+12,20246.19,20449.99,20246.19,20449.99,0.02077,1.67854E+12,422.7703694,3,0.01083,221.4733917,0
1.67854E+12,20256.22,20256.22,20256.22,20256.22,0.1,1.67854E+12,2025.622,7,0.1,2025.622,0
1.67854E+12,20256.22,20256.22,20256.22,20256.22,0,1.67854E+12,0,0,0,0,0
1.67854E+12,20256.22,20256.22,20256.22,20256.22,0,1.67854E+12,0,0,0,0,0
1.67854E+12,20449.99,20449.99,20449.99,20449.99,0.15024,1.67854E+12,3072.406498,5,0.09905,2025.57151,0
1.67854E+12,20450,20650,20450,20650,0.03243,1.67854E+12,667.595602,7,0.03243,667.595602,0
1.67854E+12,20449.99,20449.99,20200.04,20200.04,0.00221,1.67854E+12,44.9495269,2,0,0,0
1.67854E+12,20201.11,20201.11,20201.11,20201.11,0.01083,1.67854E+12,218.7780213,1,0,0,0
1.67854E+12,20201.12,20201.12,20201.12,20201.12,0.00058,1.67854E+12,11.7166496,1,0,0,0
1.67854E+12,20400,20400,20400,20400,0.00122,1.67854E+12,24.888,1,0.00122,24.888,0
1.67854E+12,20400,20400,20400,20400,0,1.67854E+12,0,0,0,0,0
1.67854E+12,20615,20650,20201.24,20201.29,0.03184,1.67854E+12,645.286185,9,0.00482,99.4483,0
1.67854E+12,20540,20540,20540,20540,0.00243,1.67854E+12,49.9122,2,0.00243,49.9122,0
1.67854E+12,20256.22,20259.01,20256.22,20259.01,0.00247,1.67854E+12,50.0369926,2,0,0,0
1.67854E+12,20580,20580,20530,20550,0.00503,1.67854E+12,103.3843,3,0.00503,103.3843,0
1.67854E+12,20550,20580,20550,20580,0.00238,1.67854E+12,48.9801,3,0.00103,21.1971,0
1.67854E+12,20560,20560,20560,20560,0.00097,1.67854E+12,19.9432,1,0.00097,19.9432,0
1.67854E+12,20560,20560,20558,20558,0.00498,1.67854E+12,102.38394,2,0.00498,102.38394,0
1.67854E+12,20590,20650,20590,20650,0.68158,1.67854E+12,14074.2398,22,0.68158,14074.2398,0
1.67854E+12,20650,20650,20650,20650,0,1.67854E+12,0,0,0,0,0
1.67854E+12,20598.05,20598.05,20598.05,20598.05,0.00238,1.67854E+12,49.023359,1,0.00238,49.023359,0
1.67854E+12,20598.05,20598.05,20598.05,20598.05,0,1.67854E+12,0,0,0,0,0
1.67854E+12,20598.05,20598.05,20598.05,20598.05,0,1.67854E+12,0,0,0,0,0
1.67854E+12,20265.1,20265.1,20265.1,20265.1,0.00211,1.67854E+12,42.759361,1,0,0,0
1.67854E+12,20509.62,20509.62,20509.62,20509.62,0.00209,1.67854E+12,42.8651058,1,0.00209,42.8651058,0
1.67854E+12,20509.62,20509.62,20509.62,20509.62,0,1.67854E+12,0,0,0,0,0
1.67854E+12,20474.54,20474.54,20390.26,20390.26,0.07432,1.67854E+12,1519.610538,2,0,0,0
1.67854E+12,20526.88,20526.88,20281.41,20281.41,0.00363,1.67854E+12,74.13946,2,0.00211,43.3117168,0
1.67855E+12,20281.41,20281.41,20281.41,20281.41,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20281.41,20281.41,20281.41,20281.41,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20281.41,20281.41,20281.41,20281.41,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20495,20495,20495,20495,0.00243,1.67855E+12,49.80285,1,0.00243,49.80285,0
1.67855E+12,20495,20495,20495,20495,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20495,20495,20495,20495,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20495,20495,20495,20495,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20495,20495,20495,20495,0.06017,1.67855E+12,1233.18415,2,0,0,0
1.67855E+12,20500,20500,20500,20500,0.0034,1.67855E+12,69.7,2,0.0034,69.7,0
1.67855E+12,20500,20500,20500,20500,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20391.43,20391.43,20391.43,20391.43,0.00611,1.67855E+12,124.5916373,1,0,0,0
1.67855E+12,20391.43,20391.43,20391.43,20391.43,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20391.43,20391.43,20391.43,20391.43,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20391.43,20391.43,20391.43,20391.43,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20445.92,20445.92,20445.92,20445.92,0.00604,1.67855E+12,123.4933568,1,0,0,0
1.67855E+12,20445.92,20445.92,20445.92,20445.92,0,1.67855E+12,0,0,0,0,0
